"","State","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"111","CG","District Kanker * (14), Chhattisgarh (22)",650934,324636,326298,"18.84","619549",NA,NA,NA,127294,5,1005,974,"365031","56.08",396797,223779,173018,72.93,82.72,63.25,396797,69563,136406,88486,49589,41617,11125,73557,158360,371703,47314,351859,252484,99375,299075,"1.Ganda etc.",15008,"2.Mahar etc.",8080,"3.Chamar etc.",3386,"1.Hindus",633925,"2.Others",5859,"3.Muslims",5253,"1.Gond etc.","320382","2.Halba etc.","39649","3.Oraon etc.","2489","1.Kanker (M)",24478,NA,NA,NA,NA,1068,1043,1007,849,"613",NA,949,"209","69","2","93","27","28",151,"84","327","687",8.6,89.8,1.7
"112","CG","District Bastar (15), Chhattisgarh (22)",1306673,649801,656872,"18.28","1176652",NA,NA,NA,259798,5,1011,1008,"866488","66.31",471780,300838,170942,43.91,56.32,31.64,471780,40399,183735,110533,61122,56155,19533,158366,338396,734255,75656,687415,407252,280163,619258,"1.Ganda etc.",17961,"2.Mahar etc.",6829,"3.Chamar etc.",5611,"1.Hindus",1265787,"2.Christians",17379,"3.Muslims",10335,"1.Gond etc.","637769","2.Bhattra","182153","3.Halba etc.","36686","1.Jagdalpur (M)",73669,"2.Kondagaon (M)",26898,"3.Frezarpur (CT)",9638,1461,1375,1375,1105,"893",NA,1230,"305","155","2","281","48","161",314,"107","467","1103",10.6,82.2,7.2
"113","CG","District Dantewada* (16), Chhattisgarh (22)",719487,356928,362559,"15.56","667475",NA,NA,NA,146190,5,1016,1014,"564931","78.52",176944,115626,61318,30.17,39.75,20.75,176944,15549,67783,37694,21178,26720,7989,88916,194086,405849,30636,380244,284770,95474,339243,"1.Mahar etc.",16388,"2.Chamar etc.",2672,"3.Dom etc.",2474,"1.Hindus",696516,"2.Others",8644,"3.Christians",6213,"1.Gond etc.","523765","2.Halba etc.","31157","3.Bhattra","3034","1.Bade Bacheli (NP)",20411,"2.Kirandul (M)",19059,"3.Dantewada (NP)",6641,1220,1204,1170,578,"491",NA,1006,"164","51","3","201","26","54",157,"52","191","958",9.8,66.2,23.9
"114","Chandigarh","District Chandigarh (01), Chandigarh (04)",900635,506938,393697,"40.33","92120",NA,NA,NA,206465,4,777,844,"-","-",643245,382686,260559,81.94,86.14,76.47,643245,5945,88518,115349,90111,204402,138441,79225,181963,593235,46212,340422,328989,11433,560213,"1.Balmiki etc.",68666,"2.Chamar etc.",48159,"3.Pasi",8320,"1.Hindus",707978,"2.Sikhs",145175,"3.Muslims",35548,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Chandigarh (M Corp.)",808515,NA,NA,"3.Uttarkashi (MB)",16218,23,23,23,23,"1","1",18,"14","14","-","18","1","1",23,"21","21","5",89.8,7,3.2
"115","D_D","District Diu (01), Daman & Diu (25)",44215,20878,23337,"11.71","22637",NA,NA,NA,9241,5,1118,959,"116","0.26",26167,14366,11801,71.38,84.39,60.09,26167,105,6779,8095,4390,5978,819,5467,11062,24687,2999,13862,11404,2458,30353,"1.Bhangi etc.",1231,"2.Mahyavanshi etc.",391,"3.Generic Castes etc.",147,"1.Hindus",41235,"2.Muslims",2719,"3.Christians",202,"1.Siddi etc.","108","2.Dhodia","7","3.Dubla etc.","1","1.Diu (M Cl)",21578,NA,NA,NA,NA,2,2,2,2,"-","-",2,"2","3","-","2","-","2",2,"2","2","-",98.6,1,0.5
"116","D_D","District Daman (02), Daman & Diu (25)",113989,71634,42355,"83.49","78219",NA,NA,NA,26445,4,591,906,"13881","12.18",81433,56626,24807,80.65,87.38,68.6,81433,338,14786,19113,16274,25517,5390,9490,17175,82210,5114,58929,56118,2811,55060,"1.Mahyavanshi etc.",2693,"2.Bhangi etc.",191,"3.Generic Castes etc.",112,"1.Hindus",100666,"2.Muslims",9562,"3.Christians",3160,"1.Dubla etc.","10365","2.Dhodia","1918","3.Varli","1485","1.Daman (M Cl)",35770,NA,NA,NA,NA,21,21,21,21,"-","-",20,"15","8","1","21","3","15",20,"21","21","2",90.2,8.4,1.4
"117","Delhi","District North West",2860869,1571689,1289180,"60.12","265363",NA,NA,NA,561945,5,820,856,"-","-",1957902,1161047,796855,80.57,86.67,73.08,1957902,16320,336760,414858,309552,550540,329431,294204,669176,1751640,145849,919439,872142,47297,1941430,"1.Chamar etc.",203869,"2.Chuhra (Balmiki)",117968,"3.Koli",45617,"1.Hindus",2540491,"2.Muslims",173409,"3.Sikhs",91723,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",1279582,"2.DMC(U) Part",404787,"3.DMC(U) Part",174142,62,62,62,62,"11","9",57,"31","46","-","44","2","1",60,"62","61","9",91.1,5.8,3.1
"118","Delhi","District North",781525,427882,353643,"13.3","46585",NA,NA,NA,148927,5,826,885,"-","-",540192,314103,226089,80.1,84.64,74.54,540192,5647,84263,116492,90266,155998,87355,72979,171219,492289,45038,256596,244890,11706,524929,"1.Chamar etc.",36982,"2.Chuhra (Balmiki)",24936,"3.Koli",16817,"1.Hindus",609493,"2.Muslims",126093,"3.Sikhs",20819,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",397256,"2.DMC(U) Part",132947,"3.DMC(U) Part",122102,5,5,4,4,"2","1",3,"3","2","-","3","-","-",4,"5","4","1",89.1,4.5,6.3
"119","Delhi","District North East",1768061,956078,811983,"62.52","141547",NA,NA,NA,310887,6,849,875,"-","-",1141035,676627,464408,77.53,84.78,68.94,1141035,13821,222702,270927,211702,300605,121084,201204,459472,1032752,74633,500425,470993,29432,1267636,"1.Chamar etc.",149967,"2.Koli",39439,"3.Chuhra (Balmiki)",33134,"1.Hindus",1232960,"2.Muslims",481607,"3.Jains",22322,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",426549,"2.DMC(U) Part",353401,"3.DMC(U) Part",217397,12,12,12,7,"5","2",7,"4","4","-","4","-","-",8,"12","9","3",94.6,3.5,1.9
"120","Delhi","District East",1463583,794074,669509,"41.61","18223",NA,NA,NA,287638,5,843,865,"-","-",1068139,613061,455078,84.91,89.65,79.26,1068139,9826,152458,199177,157781,310647,238014,141176,315156,918414,88837,475310,456216,19094,988273,"1.Chamar etc.",104915,"2.Chuhra (Balmiki)",60288,"3.Khatik",13088,"1.Hindus",1213295,"2.Muslims",140335,"3.Sikhs",51157,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",541277,"2.DMC(U) Part",362275,"3.DMC(U) Part",210055,3,3,3,3,"-","-",1,"-","-","-","-","-","-",2,"3","3","-",93.2,3.4,3.4
"121","Delhi","District New Delhi (05), Delhi (07)",179112,99956,79156,"2.47","-",NA,NA,NA,39633,5,792,897,"-","-",131196,78540,52656,83.24,88.62,76.33,131196,1665,17489,24105,21377,36440,30013,14382,36626,120349,7755,67594,64425,3169,111518,"1.Chuhra (Balmiki)",20846,"2.Chamar etc.",6407,"3.Dhobi",4659,"1.Hindus",155594,"2.Muslims",11416,"3.Christians",6263,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.N.D.M.C. (Part)",74994,"2.N.D.M.C. (Part)",59132,"3.N.D.M.C. (Part)",31067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,7.2,10.7
"122","Delhi","District Central",646385,350831,295554,"(1.91)","-",NA,NA,NA,120616,5,842,902,"-","-",450989,255253,195736,79.69,82.73,76.05,450989,9341,65525,101683,75263,119540,79593,54916,133996,415837,41636,223851,213324,10527,422534,"1.Chamar etc.",66663,"2.Chuhra (Balmiki)",20324,"3.Khatik",13797,"1.Hindus",423592,"2.Muslims",193137,"3.Sikhs",17126,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",307191,"2.DMC(U) Part",195556,"3.DMC(U) Part",140248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,5.4,7.4
"123","Delhi","District West",2128908,1163084,965824,"47.81","86794",NA,NA,NA,432782,5,830,859,"-","-",1533738,884861,648877,83.39,87.85,77.99,1533738,13948,220759,289230,222665,463594,323357,198333,448086,1340763,141726,720915,686517,34398,1407993,"1.Chamar etc.",113072,"2.Chuhra (Balmiki)",58455,"3.Khatik",33376,"1.Hindus",1745810,"2.Sikhs",247312,"3.Muslims",107079,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",968505,"2.DMC(U) Part",469963,"3.DMC(U) Part",312034,9,9,9,9,"1","1",9,"7","11","-","5","-","-",9,"9","9","1",92,4.9,3.1
"124","Delhi","District South West",1755041,983615,771426,"61.29","225454",NA,NA,NA,364511,5,784,845,"-","-",1258033,761917,496116,83.61,89.86,75.55,1258033,10007,184787,237497,201038,396897,227609,171609,380759,1122699,79974,602546,569836,32710,1152495,"1.Chamar etc.",89506,"2.Chuhra (Balmiki)",66947,"3.Julaha (Weaver)",15868,"1.Hindus",1612169,"2.Muslims",76429,"3.Sikhs",29470,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part",695488,"2.DMC (U) Part",334821,"3.DMC (U) Part",168990,51,51,47,51,"11","11",49,"30","50","1","26","2","2",49,"51","51","3",91.7,5.3,2.9
"125","Delhi","District South",2267023,1260025,1006998,"50.27","160761",NA,NA,NA,466444,5,799,887,"-","-",1583540,955438,628102,81.96,88.26,73.94,1583540,15744,250170,313497,242046,436353,325459,229058,500588,1421999,115378,778558,739173,39385,1488465,"1.Chamar etc.",122003,"2.Chuhra (Balmiki)",97323,"3.Koli",30885,"1.Hindus",1824645,"2.Muslims",314015,"3.Sikhs",75102,"No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC (U) Part",714784,"2.DMC (U) Part",556765,"3.DMC (U) Part",379138,16,16,16,16,"1","1",12,"10","14","1","7","2","-",15,"16","16","2",92.1,4.7,3.2
"126","D_N_H","District Dadra & Nagar Haveli (01), Dadra & Nagar Haveli (26)",220490,121666,98824,"59.2","170027",NA,NA,NA,45586,5,812,979,"137225","62.24",103904,72149,31755,57.63,71.18,40.23,103904,1228,26108,25077,15408,28169,7896,29421,48337,133814,8918,114122,96184,17938,106368,"1.Chamar",1554,"2.Mahyavanshi etc.",1509,"3.Bhangi",433,"1.Hindus",206203,"2.Muslims",6524,"3.Christians",6058,"1.Varli","90847","2.Kokna","21485","3.Dhodia","20537","1.Amli CT",28570,"2.Silvassa CT",21893,NA,NA,70,69,69,69,"-","-",69,"36","16","1","67","9","37",44,"60","69","69",45.7,51.6,2.6
"127","Goa","District North Goa",758573,388502,370071,"13.93","416824",NA,NA,NA,164129,5,953,937,"281","0.04",566668,312590,254078,83.52,90.05,76.69,566668,9387,113407,110017,93191,183788,56876,57358,123907,511082,66226,307628,242190,65438,450945,NA,10255,NA,4753,NA,1235,NA,576848,NA,136390,NA,43383,"1.Naikda etc.","104","2.Dubla etc.","76","3.Siddi etc.","55","(M Cl)",59066,"(M Cl)",40487,"(M Cl)",17713,209,209,206,206,"-","-",188,"110","104","4","111","6","80",114,"195","200","127",66.4,31.7,1.9
"128","Goa","District South Goa (02), Goa (30)",589095,298746,290349,"16.16","260267",NA,NA,NA,130683,5,972,937,"285","0.05",418894,228442,190452,80.06,86.28,73.68,418894,8623,75499,83652,66067,143627,41421,46465,103496,386075,53059,215227,183115,32112,373868,NA,3315,NA,2640,NA,520,NA,309703,NA,223178,NA,48827,"1.Dubla etc.","112","2.Siddi etc.","100","3.Naikda etc.","39",NA,97154,NA,78382,"(M Cl)",21407,138,138,137,137,"13","9",120,"61","68","2","74","5","51",69,"128","131","124",74.2,23.8,2
"129","Gujarat","District Kachchh (01), Gujarat (24)",1583225,815152,768073,"20.9","1108333","474892",NA,NA,320588,5,942,921,"130138","8.22",794483,480555,313928,59.79,70.39,48.59,794483,12438,253685,250155,104847,140506,32699,176916,381035,911521,113753,605599,498186,107413,977626,"1.Meghval etc.",129621,"2.Mahyavansi etc.",24064,"3.Bhambi etc.",10315,"1.Hindus",1223254,"2.Muslims",329254,"3.Jains",23894,"1.Koli","95655","2.Vaghri","16974","3.Bhil etc.","7937","1.Gandhidham (M)",151693,"2.Bhuj (M)",98528,"3.Anjar (M)",68343,886,886,882,863,"61","21",835,"-","105","-","672","45","170",616,"841","688","336",83.4,9,7.5
"130","Gujarat","District Banas Kantha (02), Gujarat (24)",2504244,1297404,1206840,"26.31","2228743","275501",NA,NA,426781,6,930,906,"205904","8.22",1037619,699080,338539,50.97,66.47,34.4,1037619,13753,424367,308578,112479,153151,24897,326948,668902,1365463,142931,1092201,830579,261622,1412043,"1.Bhambi etc.",158332,"2.Bhangi etc.",39435,"3.Mahyavansi etc.",33884,"1.Hindus",2314123,"2.Muslims",170142,"3.Jains",18544,"1.Bhil etc.","203077","2.Generic Tribes etc.","1830","3.Padhar","185","1.Palanpur (M)",110419,"2.Deesa (M)",83382,"3.Tharad (M)",22815,1244,1242,1233,1225,"328","197",1217,"-","198","4","523","61","252",954,"1114","1066","729",49.3,38.8,11.9
"131","Gujarat","District Patan",1182709,612100,570609,"14.08","944281","238428",NA,NA,222630,5,932,865,"12637","1.07",599082,375588,223494,60.36,73.63,46.33,599082,5885,215489,165823,69614,121119,21088,132514,276327,686947,86921,533078,395470,137608,649631,"1.Bhambi etc.",53851,"2.Mahyavansi etc.",31292,"3.Bhangi etc.",17401,"1.Hindus",1057013,"2.Muslims",119748,"3.Jains",5136,"1.Bhil etc.","11516","2.Generic Tribes etc.","361","3.Bavacha etc.","309","1.Patan (M)",112219,"2.Sidhpur (M)",53858,"3.Radhanpur (M)",32191,517,516,513,517,"9","2",514,"-","127","6","265","28","208",454,"485","478","86",63.7,29.3,7
"132","Gujarat","District Mahesana (04), Gujarat (24)",1837892,953842,884050,"12.04","1426175","411717",NA,NA,364447,5,927,800,"8975","0.49",1188224,698626,489598,75.22,86.2,63.65,1188224,9603,345067,306412,160453,309309,56891,179056,399174,1114802,144860,828519,665080,163439,1009373,"1.Bhambi etc.",50431,"2.Mahyavansi etc.",46335,"3.Senva etc.",26782,"1.Hindus",1714171,"2.Muslims",113631,"3.Jains",7122,"1.Bhil etc.","6532","2.Patelia","872","3.Generic Tribes etc.","403","1.Mahesana (M)",99880,"2.Visnagar (M)",65826,"3.Kadi (M)",56240,593,593,593,593,"3","3",589,"-","276","5","440","47","272",546,"593","560","258",74.6,21,4.3
"133","Gujarat","District Sabar Kantha (05), Gujarat (24)",2082531,1069554,1012977,"18.3","1857402","225129",NA,NA,399847,5,947,879,"420242","20.18",1171555,721203,450352,66.65,80.42,52.3,1171555,13244,299309,296151,176084,332201,53757,230011,470303,1231509,150708,940437,662249,278188,1142094,"1.Bhambi etc.",66546,"2.Mahyavansi etc.",63639,"3.Senva etc.",15929,"1.Hindus",1946780,"2.Muslims",117806,"3.Jains",11198,"1.Bhil etc.","406356","2.Generic Tribes etc.","6176","3.Naikda etc.","4556","1.Himatnagar (M)",56464,"2.Modasa (M)",54135,"3.Idar (M)",29002,1372,1370,1368,1358,"187","163",1362,"-","544","20","784","69","361",1070,"1338","1162","763",44.3,44.6,11.1
"134","Gujarat","District Gandhinagar (06), Gujarat (24)",1334455,697999,636456,"23.88","867195","467260",NA,NA,269440,5,912,813,"17681","1.32",879834,522575,357259,76.59,87.74,64.58,879834,5710,221042,214072,136174,231335,71259,130223,286936,830197,87099,554336,467413,86923,780119,"1.Mahyavansi etc.",46606,"2.Bhambi etc.",40603,"3.Bhangi etc.",12857,"1.Hindus",1269766,"2.Muslims",50559,"3.Jains",7769,"1.Bhil etc.","11674","2.Generic Tribes etc.","1271","3.Naikda etc.","867","1.Gandhinagar (NAC)",195985,"2.Kalol (M)",100008,"3.Chandkheda (M)",55504,291,291,291,291,"14","14",290,"-","177","5","244","23","129",261,"286","283","154",70.9,24.4,4.7
"135","Gujarat","District Ahmadabad (07), Gujarat (24)",5816519,3074556,2741963,"26.61","1152986","4663533",NA,NA,1150588,5,892,835,"58035","1",4012140,2318295,1693845,79.5,87.31,70.83,4012140,34840,816251,963479,602259,1113922,479990,531956,1210381,3680817,393365,2009365,1799126,210239,3807154,"1.Mahyavansi etc.",289988,"2.Bhambi etc.",171544,"3.Bhangi etc.",87391,"1.Hindus",4921747,"2.Muslims",662799,"3.Jains",170093,"1.Bhil etc.","33055","2.Padhar","9603","3.Generic Tribes etc.","5639","1.Ahmadabad (M Corp.)",3520085,"2.Vejalpur (M)",113445,"3.Ghatlodiya (M)",106684,546,546,542,546,"61","20",542,"-","156","-","428","35","181",488,"539","540","197",82.9,14.1,3
"136","Gujarat","District Surendranagar (08), Gujarat (24)",1515148,787650,727498,"25.34","1112700","402448",NA,NA,277667,5,924,886,"14338","0.95",781155,487094,294061,61.61,74.19,48.1,781155,7798,260586,231369,119782,132242,29293,173263,359042,870590,112253,647609,512038,135571,867539,"1.Mahyavansi etc.",83092,"2.Bhambi etc.",51060,"3.Bhangi etc.",14289,"1.Hindus",1392451,"2.Muslims",97846,"3.Jains",22721,"1.Padhar","10916","2.Bhil etc.","2133","3.Generic Tribes etc.","363","1.Surendranagar Dudhrej (M)",156161,"2.Dhrangadhra (M)",70663,"3.Wadhwan (M)",61752,650,649,649,650,"2","-",648,"-","111","2","170","30","136",443,"599","478","172",67.9,23.4,8.7
"137","Gujarat","District Rajkot (09), Gujarat (24)",3169881,1642018,1527863,"25.6","1544019","1625862",NA,NA,597990,5,930,854,"13163","0.42",2033946,1166122,867824,74.16,82.61,65.2,2033946,19339,489497,561231,341580,492263,129543,297863,679812,1942470,249736,1244806,1076436,168370,1925075,"1.Mahyavansi etc.",134846,"2.Bhambi etc.",73355,"3.Bhangi etc.",20445,"1.Hindus",2841302,"2.Muslims",292676,"3.Jains",30629,"1.Bhil etc.","7776","2.Patelia","2287","3.Generic Tribes etc.","1100","1.Rajkot (M Corp.)",967476,"2.Morvi (M)",145719,"3.Jetpur Navagadh (M)",104312,844,844,844,844,"99","78",842,"-","214","1","542","58","341",723,"830","690","483",85.6,13.1,1.3
"138","Gujarat","District Jamnagar (10), Gujarat (24)",1904278,981320,922958,"22.39","1068022","836256",NA,NA,350105,5,941,898,"10459","0.55",1083696,638101,445595,66.48,76.25,56.18,1083696,14273,307824,317584,178293,207926,57566,192652,422410,1139780,149436,734382,624057,110325,1169896,"1.Mahyavansi etc.",83370,"2.Bhambi etc.",35152,"3.Meghval etc.",15716,"1.Hindus",1605941,"2.Muslims",270223,"3.Jains",21907,"1.Rabari","3821","2.Bhil etc.","2063","3.Siddi","1305","1.Jamnagar (M Corp.)",443518,"2.Navagam Ghed (M)",39500,"3.Khambhalia (M)",36479,698,695,694,666,"21","7",666,"-","134","3","286","32","212",541,"626","452","424",87.5,10.6,1.8
"139","Gujarat","District Porbandar",536835,275821,261014,"14.35","275460","261375",NA,NA,105893,5,946,897,"6456","1.2",316172,184717,131455,68.62,78.36,58.42,316172,3029,86630,91944,58461,63064,13007,54019,114022,325681,43113,215134,173594,41540,321701,"1.Mahyavansi etc.",37762,"2.Bhambi etc.",3772,"3.Bhangi etc.",3524,"1.Hindus",507176,"2.Muslims",28404,"3.Jains",589,"1.Rabari","5306","2.Bhil etc.","535","3.Charan","212","1.Porbandar (M)",133051,"2.Chhaya (M)",38526,"3.Ranavav (M)",24199,182,182,178,155,"8","1",156,"-","33","1","130","9","60",132,"141","132","60",95.2,3.8,1
"140","Gujarat","District Junagadh (12), Gujarat (24)",2448173,1252350,1195823,"17.08","1736645","711528",NA,NA,432884,6,955,902,"18832","0.77",1408878,833064,575814,67.78,78.74,56.43,1408878,14948,396444,397552,245044,293642,60977,260017,556596,1447209,184351,1000842,785530,215312,1447331,"1.Mahyavansi etc.",150063,"2.Bhambi etc.",46360,"3.Nadia etc.",15056,"1.Hindus",2165734,"2.Muslims",274481,"3.Jains",4291,"1.Rabari","6290","2.Siddi","6176","3.Bhil etc.","2308","1.Junagadh (M)",168515,"2.Veraval (M)",141357,"3.Keshod (M)",63257,923,922,916,901,"38","3",858,"-","299","6","803","50","369",743,"828","765","411",88.7,10.2,1
"141","Gujarat","District Amreli (13), Gujarat (24)",1393918,701593,692325,"6.45","1080960","312958",NA,NA,248677,6,987,892,"3256","0.23",789978,456025,333953,66.09,76.44,55.78,789978,8015,272031,255693,100584,133486,20031,136207,333411,800409,123891,600819,470043,130776,793099,"1.Mahyavansi etc.",61384,"2.Bhambi etc.",37790,"3.Bhangi etc.",9884,"1.Hindus",1307460,"2.Muslims",83077,"3.Jains",2309,"1.Bhil etc.","1504","2.Generic Tribes etc.","442","3.Patelia","412","1.Amreli (M)",90230,"2.Savarkundla (M)",73774,"3.Rajula (M)",32395,615,614,613,615,"102","85",614,"-","118","3","383","39","170",520,"590","535","353",64.8,32.2,2.9
"142","Gujarat","District Bhavnagar (14), Gujarat (24)",2469630,1274920,1194710,"19.29","1534592","935038",NA,NA,426001,6,937,881,"7298","0.3",1368920,828080,540840,66.2,78.02,53.73,1368920,17227,451513,447754,176531,217579,57987,276315,617608,1392303,183404,944559,781166,163393,1525071,"1.Mahyavansi etc.",61591,"2.Bhambi etc.",53035,"3.Bhangi etc.",19613,"1.Hindus",2264062,"2.Muslims",172740,"3.Jains",28921,"1.Bhil etc.","4724","2.Generic Tribes etc.","1032","3.Siddi","279","1.Bhavnagar (M Corp.)",511085,"2.Botad (M)",100194,"3.Mahuva (M)",70756,790,790,790,789,"126","104",786,"-","122","2","526","46","269",618,"758","690","281",67.1,27.7,5.1
"143","Gujarat","District Anand",1856872,972000,884872,"13.03","1348901","507971",NA,NA,360808,5,910,848,"22835","1.23",1193404,717909,475495,74.51,86.09,61.94,1193404,8141,323092,328052,163168,299294,71226,178990,392524,1150704,134654,784711,617669,167042,1072161,"1.Mahyavansi etc.",41280,"2.Bhambi etc.",28241,"3.Bhangi etc.",18037,"1.Hindus",1616127,"2.Muslims",199263,"3.Christians",29461,"1.Bhil etc.","17421","2.Koli Dhor etc.","1272","3.Rathawa","1034","1.Anand (M)",130685,"2.Khambhat (M)",80452,"3.Borsad (M)",56548,350,350,350,350,"13","9",350,"-","211","2","301","54","181",330,"346","345","171",53.4,43,3.6
"144","Gujarat","District Kheda (16), Gujarat (24)",2024216,1052823,971393,"13.24","1617766","406450",NA,NA,395493,5,923,875,"32394","1.6",1243363,769426,473937,71.96,85.99,56.9,1243363,11755,351172,343682,180020,299712,56489,207619,433219,1231913,151465,908180,694400,213780,1116036,"1.Mahyavansi etc.",36909,"2.Bhambi etc.",29687,"3.Bhangi etc.",18037,"1.Hindus",1775214,"2.Muslims",218660,"3.Christians",23178,"1.Bhil etc.","21611","2.Naikda etc.","4124","3.Dhanka etc.","3569","1.Nadiad (M)",192913,"2.Kapadvanj (M)",43950,"3.Chaklasi (M)",36101,612,612,612,612,"34","34",612,"-","306","6","432","57","285",498,"559","548","374",44.3,50.2,5.4
"145","Gujarat","District Panch Mahals (17), Gujarat (24)",2025277,1044937,980340,"20.36","1771915","253362",NA,NA,360862,6,938,934,"556000","27.45",1025835,659346,366489,60.92,75.91,44.94,1025835,12135,302434,276113,156973,239821,37261,243351,489499,1147811,144616,976726,616885,359841,1048551,"1.Mahyavansi etc.",42180,"2.Bhambi etc.",18471,"3.Bhangi etc.",12766,"1.Hindus",1897034,"2.Muslims",120676,"3.Jains",4382,"1.Bhil etc.","326103","2.Naikda etc.","120219","3.Rathawa","86895","1.Godhra (M)",121879,"2.Halol (M)",41115,"3.Lunawada (M)",33369,1201,1201,1200,1201,"206","104",1182,"-","378","8","781","58","318",591,"1003","963","995",32,59.5,8.5
"146","Gujarat","District Dohad",1636433,824208,812225,"28.35","1480110","156323",NA,NA,244009,7,985,966,"1182509","72.26",588074,385340,202734,45.15,58.88,31.28,588074,9252,194817,145165,87404,130333,20770,237608,444558,864462,89805,814590,496410,318180,821843,"1.Bhangi etc.",10552,"2.Bhambi etc.",9484,"3.Mahyavansi etc.",6031,"1.Hindus",1571017,"2.Muslims",52632,"3.Christians",8907,"1.Bhil etc.","1059350","2.Patelia","79359","3.Naikda etc.","25351","1.Dohad (M)",79139,"2.Jhalod (M)",25095,"3.Devgadbaria (M)",19202,693,693,693,692,"79","18",690,"-","182","3","580","40","308",315,"572","572","602",25.4,54.3,20.2
"147","Gujarat","District Vadodara (19), Gujarat (24)",3641802,1897368,1744434,"19.8","1995580","1646222",NA,NA,739276,5,919,885,"967393","26.56",2228008,1309347,918661,70.76,80.04,60.73,2228008,20092,544745,532329,314118,596035,219863,343856,760663,2277521,259762,1518845,1202620,316225,2122957,"1.Mahyavansi etc.",104004,"2.Bhambi etc.",42128,"3.Bhangi etc.",36372,"1.Hindus",3258593,"2.Muslims",317194,"3.Jains",31566,"1.Rathawa","424195","2.Bhil etc.","269874","3.Dhanka etc.","127003","1.Vadodara (M Corp.)",1306227,"2.Dabhoi (M)",54952,"3.Padra (M)",35923,1548,1548,1548,1532,"280","192",1488,"-","242","7","1254","72","447",827,"1114","1134","845",64.1,28.9,6.9
"148","Gujarat","District Narmada",514404,263986,250418,"14.4","462298","52106",NA,NA,104038,5,949,945,"401654","78.08",259472,161092,98380,59.86,72.44,46.61,259472,2940,88671,72778,39196,47023,8831,56690,121680,299481,36553,259116,176372,82744,255288,"1.Mahyavansi etc.",4238,"2.Bhambi etc.",3501,"3.Bhangi etc.",1635,"1.Hindus",482552,"2.Muslims",20429,"3.Christians",5122,"1.Bhil etc.","301183","2.Dhanka etc.","91879","3.Gamit etc.","3598","1.Rajpipla (M)",34923,"2.Kevadiya (CT)",12703,"3.Vadia (CT)",4480,552,552,544,530,"30","4",515,"-","58","-","324","20","128",267,"318","398","227",20.2,72,7.8
